,전문가지향성,학습민첩성,혁신행동,이직의도
전문가지향성,1.0,0.484,0.403,0.104
학습민첩성,0.484,1.0,0.558,0.119
혁신행동,0.403,0.558,1.0,0.062
이직의도,0.104,0.119,0.062,1.0
