변수,B,SE,β,t,p,sig
(상수),2.506,0.218,,11.518,0.0,***
성별,0.173,0.047,0.08,3.657,0.0003,***
연령,-0.192,0.021,-0.203,-9.174,0.0,***
고용형태,0.092,0.025,0.083,3.753,0.0002,***
전문가지향성,0.135,0.045,0.074,3.013,0.0026,**
학습민첩성,0.211,0.046,0.112,4.544,0.0,***
